,PRODUCT,OUTCOME_LEVEL
0,kratom,1.0000000000000002
1,johnsons powder no upc,0.2760204725779368
2,preservision areds 2,0.11761236435945799
3,abbott similac pro advance,0.1138222505408599
4,naturemade flaxseed oil,0.09506271424659853
5,puritans pride krill plus 1085mg active omega-3,0.09227232931498601
6,jif creamy peanut butter,0.07704015558816882
7,centrum adults under 50,0.06226570828111009
8,florastor (saccharomyces boulardii lyophilised),0.061023699967629436
9,vitamin d,0.06031437982580438
10,artri ajo king,0.056368285420938025
11,monster energy drink,0.045046585589274345
12,super beta prostate p3 advanced,0.044799853933615984
13,multivitamin,0.043794236515585935
14,one a day womens,0.04272245522293171
15,mitragyna speciosa,0.042267704230294446
16,similac pm 60/40,0.03870980849794843
17,shower to shower no upc,0.037321186948019364
18,prevagen regular strength,0.036785734383554904
19,magnesium oxide,0.03442250789510058
20,swanson efas hemp seed oil (omegatru),0.03280098667760262
21,emergen-c,0.03249729777607038
22,delta 8,0.03237946680366437
23,daily harvest french lentil and leek crumbles,0.030174401355704972
24,citracal,0.02869170419506144
25,"calcium carbonate, cholecalciferol",0.027250447468865138
26,arbonne essentials digestion plus,0.023630405350974718
27,melatonin,0.023088547052233118
28,general mills lucky charms,0.02272257269130311
29,enfamil gentlease,0.021863470321876282
30,herbal substance kratom,0.02167110753221977
31,5-hour energy,0.020914005856103562
32,sodium nitrite,0.020738334485127914
33,plexus probio5,0.020476420538049815
34,gerber good start soothe pif,0.019820104011779936
35,arti king,0.01822538631661958
36,poppy seeds,0.017679105494682847
37,dr.f boston c,0.017628766130834566
38,isagenix natural accelerator,0.016960578850404806
39,sleep now,0.016888395777521093
40,fish oil,0.016568035355471824
41,limbrel,0.015527941201062736
42,premier protein vanilla,0.015293131542149587
43,hydroxycut hardcore rapid release capsules,0.014989542194842586
44,unspecified energy drink,0.014709431297263709
45,ocuvite adult 50,0.01456185914676727
46,whole herbs green vein maeng da kratom,0.014163912559319347
47,probiotics lactobacillus,0.01377097647306584
48,modere burn,0.013735936947083189
49,nutrilite double x,0.013645471045423782
50,great value eggs,0.013628717185305329
51,zenwise health digestive enzymes plus prebiotics probiotics,0.013494071142108969
52,turmeric root,0.013290196079009272
53,jergens lotion,0.01319054442813411
54,phillips laxative magnesium oxide,0.013040099942700513
55,cell-u-loss,0.012703701167800868
56,enteragam,0.012654214774230624
57,doterra myrrh,0.012618661906082225
58,pink pussycat sensual enhancement,0.012140802230682169
59,formula 2 multivitamin,0.012130928954890305
60,lucerne hard boiled eggs,0.011990296011434502
61,feosol bifera iron,0.011930374212894975
62,kavinace ultra pm,0.011890129156035118
63,best defense (orange flavor),0.01185517229050086
64,vicks vzzz quil sleepaid purezzzs,0.011850898631554705
65,protandim nrf2,0.011697489150996207
66,hope for health small flowered willow herb,0.011686482686087777
67,barracuda,0.01162238960306153
68,choice organics opms gold kratom blister packs,0.011597219921137387
69,food,0.011152079719390785
70,rhino male enhancement,0.011083060859489716
71,green tea extract,0.010708162864618169
72,"life extension d, l-phenylalanine",0.010509913466268284
73,persona nutrition foundational multivitamin,0.010231138922760263
74,culturelle lactobacilus rhamnosus,0.009870730495075412
75,kroger magnesium citrate lemon and grape,0.009763115623155147
76,young living claraderm,0.009245853210032606
77,nutrafol womens balance,0.00923663936089918
78,omega 3,0.009080018259935608
79,prosvent ultra blend,0.0090749889076116
80,botanic tonics kratom feel free plant based tonic,0.009009611159762615
81,devacurl no poo decadence,0.009002048093672442
82,glucose essentials,0.008726828644739087
83,aqueous vitaman d,0.008713776759262732
84,sheer n.o. nitric oxide supplement - premium muscle building nitric ox,0.008656532804563709
85,royal honey,0.008517284371874387
86,lucky charms cereal,0.008473517517094737
87,benefiber prebiotic,0.008428483387660871
88,black 3k plus,0.008424139481858578
89,niacin,0.008298605599603031
90,ferrous sulfate,0.008140388423466729
91,prena1 pearl,0.00784556928545247
92,advocare omegaplex,0.007817823620601884
93,nestle resource thicken up,0.007719988735455323
94,ultimax,0.007587655294472614
95,total control,0.0075686951784156515
96,rso rick simpson oil,0.0073614072710888835
97,ethanol extraction,0.0073614072710888835
98,tianeptine,0.007345053708221493
99,dr. mercola liver support,0.007176950857462765
100,lactaid,0.007105727202328952
101,phenibut,0.007048021930714621
102,monat renew shampoo,0.0069894095364235525
103,blue bird poppy seeds,0.006879109847127495
104,performix iridium ssti,0.0068568216496081025
105,phillips fiber good gummies,0.0068204091487344435
106,bobs red mill whole grain foods poppy seeds,0.006792684715408563
107,mountain dew,0.006757878966211317
108,purely inspired garcinia cambogia veggie,0.00675269837222735
109,mk-7 vitamin k-2,0.006700962365663928
110,osteo bi-flex triple strength,0.006699765815059985
111,za za red,0.006605890571509675
112,ellura dietary supplement,0.006582371771157585
113,gold zen,0.006577929406093354
114,raw oysters,0.006566706881786324
115,fresh express italian salad,0.006566224971981608
116,tru niagin,0.006551329606354497
117,renew life cleanse,0.006537997832658476
118,b12,0.006534396176561939
119,silver sol,0.006522383640959418
120,red bull energy drinks,0.006513938697526542
121,piper methysticum kava kava,0.006505258678570176
122,vitapearl,0.00643940467697231
123,pm reset formula,0.006373424742985778
124,kate farms komplete chocolate meal replacement shake,0.006370160393536868
125,cherry pineapple monster pops,0.006339837942908932
126,rockstar energy drinks,0.006320079411189318
127,johnson and johnson shower to shower island fresh with citrus,0.006319802114912655
128,o.p.m.s liquid kratom extract,0.006310189853119764
129,aminogen,0.006298260255303414
130,chickweek (stellaria media),0.006296689624738246
131,ginkgo biloba,0.006296604723463337
132,dr. dale bredsen neuroq daily balance,0.006269891163678047
133,gold leaf nutritionals alpha zta,0.006264431271595946
134,energis,0.006252404890289807
135,move free joint health,0.006244377611995537
136,death by gummy bears peach,0.006235139047062661
137,glucerna hunger smart shake,0.006230714271779493
138,body fortress super advanced whey protein,0.006226406521634249
139,thermo-bond,0.006189616244641599
140,dekas plus,0.006179667831107989
141,cell activator,0.006145773907652837
142,twizzlers black licorice twists,0.006091468008236707
143,liftoff (flavor unknown),0.006090405066157601
144,prolessa duo,0.006063909215820781
145,primezen,0.0060525446071346
146,nuhair dht blocker,0.006031443835237744
147,trader joes ripple potato chips,0.006027603849602228
148,dove care between washes fresh coconut dry shampoo,0.0059896263850397246
149,scallops and lobster legs,0.00596302346068348
150,optimum nutrition micronized creatine,0.005948055683089396
151,vitatrue,0.005936527610346659
152,spring valley omega-3,0.005928321746341506
153,patriot power greens,0.005916422378816798
154,korea pure,0.00591288884575407
155,thc mint rosin,0.005899905219296283
156,jevity 1.5 cal high protein nutrition with fiber,0.005893353856275638
157,medline essential remedy no rinse foam cleanser,0.005887923912748801
158,rebuild strength,0.005887821538289365
159,aussie dry shampoo,0.005882052424564147
160,innovative black mamba hyperrush,0.0058737606957330905
161,isosource hn,0.0058613256879525445
162,magic stick crazy 6000 sexual supplement enhancement pill men,0.0058491028861061296
163,new england clam chowder microwaveable,0.005848898137187258
164,trident multi-grain alaskan cod,0.005848898137187258
165,sincerely nuts poppy seeds,0.005848693388268386
166,am renew formula,0.00584768407877114
167,solgar b-complex 100 vegetable capsules,0.00583265044428058
168,trubiotics with immune support advantage,0.005823728455263117
169,mitrogyna speciosa kratom fs maeng da extract,0.005823626080803681
170,ctfo 10xpure cbd hemp oil,0.005823626080803681
171,limbex,0.005823626080803681
172,alfamino infant formula (powder),0.005823626080803681
173,dmaa supplement,0.005805314885278493
174,blistex odor eaters stink stoppers,0.005799377769014465
175,amlactin daily 12 lactic acid moisturizing lotion for rough dry skin,0.00579896827117672
176,enfagrow powdered toddler nutritional drink,0.0057986611477984125
177,poly-mva,0.0057986611477984125
178,polyeth glycol,0.005798558773338976
179,zarawand kesar seed,0.005798558773338976
180,umi no shizuku focoidan,0.005798558773338976
181,tella eswari chettu powder,0.005798558773338976
182,solvent used as dietary supplement,0.005798558773338976
183,eph-100,0.005798558773338976
184,chemyo products,0.005798558773338976
185,biottech nutrition pure graviola,0.005798558773338976
186,us nutriphrama blue burner,0.005798558773338976
187,morel mushrooms wild foraged,0.005798558773338976
188,gaming powder by advanced,0.005798558773338976
189,muscadine grape extract,0.005798558773338976
190,sinatrol,0.005798558773338976
191,liquacel concentrate watermelon,0.005798558773338976
192,suvida essential silver,0.005798558773338976
193,bob xu herbal treatments,0.005798558773338976
194,aadu theenda paalai aristolochia bracteolata powder,0.005798558773338976
195,comfrey symhytum officinale,0.005798558773338976
196,swan brothers dairy milk,0.005798558773338976
197,moon shrooms magic chocolate bar,0.005798558773338976
198,s. boulardii probiotics (saccharomycesboulardii),0.005798558773338976
199,id life energy,0.005798558773338976
200,cambrooke keto vie,0.005798558773338976
201,tieneptine,0.005798558773338976
202,jack rabbit,0.005798558773338976
203,"cerbera odollum, pong pong seeds, suicide tree, mandala balls",0.005798558773338976
204,lyft premium bali kratom herbal supplement powder,0.005798558773338976
205,genuine phillips laxative,0.005798558773338976
206,maison terre goldenseal root powder,0.005798558773338976
207,kirkland signature optifiber,0.00568086581662643
208,organic spinach,0.005344050080698873
209,cbd gummies,0.005203761163534085
210,romaine lettuce,0.005180615797862797
211,truvy tru,0.00514452709667459
212,ester-c 24 hour immune support,0.0048724617893520705
213,estroven menopause relief stress,0.004820317573681635
214,alpha brain,0.004663907798974899
215,collagen,0.004638246132887736
216,shakeology chocolate,0.004600106001272417
217,formula 1,0.004491491881951824
218,azo cranberry,0.004389870491602593
219,caltrate 600 vitamin d,0.004064422905621985
220,iron,0.004060444345240934
221,biotrust ic-5,0.004053917618224336
222,folic acid,0.004003822888420758
223,solgar b-complex,0.0037048431296720337
224,biotin,0.0036605828764785203
225,evlution nutrition bcaa energy - high performance amino acid supplement,0.003467387682184484
226,ageless male max,0.0034400583476384638
227,sugar,0.003428134443361483
228,extenze plus,0.003187105985686076
229,coq10,0.0031795582918957904
230,digestive freedom plus,0.0031581035309290587
231,rice cereal,0.0031537457419415268
232,dr. sinatra omega q plus resveratrol,0.0031508131352918642
233,azo bladder control,0.0030873739706416387
234,abh naturehairflair,0.0030729638152114957
235,beachbody shakeology chocolate,0.0030581793457480407
236,vit d,0.0030199476252409
237,xyngular lean vanilla,0.0030081876115402636
238,neuriva plus,0.0029906638962189334
239,real water,0.0029459858240538776
240,little salad bar garden salad,0.0029351633737282274
241,diet coke,0.0029200992551125502
242,lifevantage omega,0.0029008407068598545
243,revive superfoods mango pineapple smoothie,0.002869775584979473
244,zinc,0.0028558780692138144
245,lutein,0.0025928043548422955
246,sundown naturals red yeast rice,0.0025319457094765798
247,gundry md total restore,0.00245461826017078
248,365 everyday value almond butter creamy,0.0023899663563083074
249,honey nut cheerios,0.0023677253715953333
250,b-complex,0.002333111393297361
251,potassium,0.002306823438256612
252,kelloggs special k red berries,0.0022980305148662962
253,olaplex 5,0.0022666022411453554
254,5-htp,0.00224677542251131
255,north star peak adrenal x6,0.00222691310283154
256,nugenix total-t,0.0022257867262566733
257,protein drink mix,0.0022220468845068992
258,power v8 male enhancement,0.0022157675170836116
259,complete form softgel,0.0021934889338065585
260,other energy drinks,0.0021612289802765763
261,d3,0.0021348338303032134
262,healthypreps foods,0.0021266276068021804
263,truvision health trucontrol,0.002123179490018329
264,bread,0.0021084795039321945
265,red 40,0.0020791921701031964
266,premium l arginine,0.002073161921661209
267,flintstones complete chewable,0.0020352278867792795
268,yellow 5,0.002030120829430804
269,f-factor 20/20 fiber/protein unflavored multi purpose mix,0.0020159640714139757
270,vegan chocolate chip cookie,0.0020111671679660663
271,ultra omega burn,0.002008178511615915
272,salt,0.002002626210120424
273,milk thistle,0.001995567786331644
274,elemental folate,0.0019935627164947537
275,tattoo,0.0019848070263098015
276,green roads cbd oil,0.0019355790728324354
277,caffeine,0.0019065943013843955
278,coca cola,0.001893928943535858
279,marketside premium romaine salad,0.00188585888148376
280,corn,0.0018389113136079614
281,astaxanthin,0.0018196531403559008
282,flo - pms gummy vitamins,0.0017993299299775398
283,lifeseasons therapeutics pros-t,0.0017915086425800944
284,it works thermofight xx,0.0017891182632229319
285,echinacea,0.0017890715382711956
286,4life transfer factor riovida,0.0017820985469004865
287,dr. whitaker o-3 essentials,0.0017444231312470269
288,designs for health gi microb-x,0.0017402231426099754
289,cinnamon,0.0017352719997348815
290,armour thyroid,0.0017337179702602995
291,care of rhodiola,0.00172595755113483
292,slimvance thermogenic,0.001719848795839148
293,elderberry,0.001714431625882348
294,simple truth organic deluxe cheddar macaroni cheese,0.0017069690962236575
295,1md nutrition cholestmd,0.0016649962917843313
296,naked mighty mango,0.001646499363465165
297,strawberries,0.001639607828903842
298,poly-vi-sol,0.0016176182311649064
299,aleve,0.0016176050943100006
300,lean vanilla,0.0016047971890023108
301,thiamine,0.0016003163451369636
302,hypericum per,0.0015878134307551774
303,lovenox,0.0015878134307551774
304,zeaxanthin,0.0015696046096894244
305,alcohol,0.0015695022352299884
306,boston c,0.0015629508722093445
307,pixie dust,0.0015628484977499083
308,possible unspecified medications or supplements,0.0015627461232904723
309,actvie fiber complex (apple flavor),0.0015627461232904723
310,seruta (vitamin c),0.0015627461232904723
311,lidatlex2 (vitamin ccalcium),0.0015627461232904723
312,biost,0.0015627461232904723
313,graveolens,0.0015627461232904723
314,bioschwartz premium ultra pure turmeric curcumin with bioperine,0.0015615075359031825
315,earths best organic dairy infant formula with iron milk-based powder,0.0015522322245902455
316,goli apple cider vinegar gummies,0.0015511870166397199
317,vitafusion womens supercharged multi,0.0015458801133525209
318,standard process diaplex product 3555,0.0015454336849483785
319,gnc mega men sport ultra energy generator,0.001511004279670892
320,v8 male enhancement,0.0014987613217324397
321,u-dream lite,0.0014914394674369294
322,quaker oats instant oatmeal,0.0014723958872898057
323,skinny pill,0.0014698174198836801
324,coseva advanced trs and advanced fulvic,0.0014653023253673612
325,cleanse for life,0.0014573827788003353
326,level thrive,0.0014543007511632143
327,tianaa red,0.0014473426118625768
328,frito lay cheetos,0.0014458839651884238
329,muscletech hydroxycut hardcore elite,0.00143524976947835
330,melaleuca peak performance longevity,0.0014318035990384505
331,juice plus omega blend,0.0014253471424073277
332,rsp amino lean,0.0014165429987775626
333,thera botanics better bladder ultra blend,0.0014117677710421715
334,banyan botanicals guduchi powder,0.0013972079969331668
335,activated charcoal,0.0013798995453301664
336,global blend,0.0013783332286597307
337,splenda,0.0013771077253782766
338,vital proteins collagen peptides,0.0013725132703394007
339,blue rhino 50k,0.0013594220870894293
340,ashwagandha,0.0013550249617290235
341,wen cleansing conditioner,0.0013074028455705641
342,garlic,0.0012997884576651279
343,zarbees naturals baby,0.0012765893487350487
344,gnc amp wheybolic clinically proven performance protein classic vanilla,0.0012684374032598707
345,xymogen i5 vanilla delight,0.0012666023069103445
346,apc all purpose 5 cysteamine,0.0012655011017525012
347,ionix supreme,0.0012648077168230117
348,neurobrin,0.0012560890954028774
349,orgain protein shake creamy chocolate,0.00124777954876448
350,viviscal shampoo unspecified,0.0012321941834426168
351,jarrow formulas bone up,0.0012310382769112923
352,mitoq active protection daily defense cream - am,0.0012242447335739266
353,clover valley chunk light tuna in water,0.001222237468222533
354,raspberry yogurt,0.0012204592031695824
355,finest nutrition free pure b-complex with vitamin c,0.0012170141807350803
356,garden salad,0.001216136390395051
357,equate childrens multivitamin gummies,0.0012151440932051509
358,redcon1 mre lite dutch apple pie,0.0012006122593373283
359,moon burn,0.0011907087389209773
360,micro minerals,0.0011896973658774125
